Datum,Zeit,W [cm]
12/8/1993,12:45:00,129
12/8/1993,13:00:00,129
12/8/1993,13:15:00,129
12/8/1993,13:30:00,130
12/8/1993,13:45:00,130
12/8/1993,14:00:00,131
12/8/1993,14:15:00,131
12/8/1993,14:30:00,131
12/8/1993,14:45:00,130
12/8/1993,15:00:00,130
12/8/1993,15:15:00,130
12/8/1993,15:30:00,130
12/8/1993,15:45:00,131
12/8/1993,16:00:00,131
12/8/1993,16:15:00,131
12/8/1993,16:30:00,130
12/8/1993,16:45:00,130
12/8/1993,17:00:00,131
12/8/1993,17:15:00,131
12/8/1993,17:30:00,131
12/8/1993,17:45:00,131
12/8/1993,18:00:00,131
12/8/1993,18:15:00,131
12/8/1993,18:30:00,131
12/8/1993,18:45:00,131
12/8/1993,19:00:00,132
12/8/1993,19:15:00,132
12/8/1993,19:30:00,133
12/8/1993,19:45:00,135
12/8/1993,20:00:00,136
12/8/1993,20:15:00,137
12/8/1993,20:30:00,138
12/8/1993,20:45:00,138
12/8/1993,21:00:00,139
12/8/1993,21:15:00,140
12/8/1993,21:30:00,141
12/8/1993,21:45:00,141
12/8/1993,22:00:00,141
12/8/1993,22:15:00,141
12/8/1993,22:30:00,141
12/8/1993,22:45:00,141
12/8/1993,23:00:00,142
12/8/1993,23:15:00,143
12/8/1993,23:30:00,143
12/8/1993,23:45:00,143
12/9/1993,0:00:00,144
12/9/1993,0:15:00,144
12/9/1993,0:30:00,144
12/9/1993,0:45:00,144
12/9/1993,1:00:00,144
12/9/1993,1:15:00,144
12/9/1993,1:30:00,144
12/9/1993,1:45:00,144
12/9/1993,2:00:00,145
12/9/1993,2:15:00,146
12/9/1993,2:30:00,146
12/9/1993,2:45:00,146
12/9/1993,3:00:00,146
12/9/1993,3:15:00,146
12/9/1993,3:30:00,146
12/9/1993,3:45:00,146
12/9/1993,4:00:00,147
12/9/1993,4:15:00,147
12/9/1993,4:30:00,147
12/9/1993,4:45:00,147
12/9/1993,5:00:00,148
12/9/1993,5:15:00,149
12/9/1993,5:30:00,149
12/9/1993,5:45:00,149
12/9/1993,6:00:00,149
12/9/1993,6:15:00,149
12/9/1993,6:30:00,149
12/9/1993,6:45:00,150
12/9/1993,7:00:00,150
12/9/1993,7:15:00,150
12/9/1993,7:30:00,151
12/9/1993,7:45:00,151
12/9/1993,8:00:00,151
12/9/1993,8:15:00,151
12/9/1993,8:30:00,151
12/9/1993,8:45:00,153
12/9/1993,9:00:00,153
12/9/1993,9:15:00,153
12/9/1993,9:30:00,152
12/9/1993,9:45:00,153
12/9/1993,10:00:00,154
12/9/1993,10:15:00,154
12/9/1993,10:30:00,154
12/9/1993,10:45:00,155
12/9/1993,11:00:00,155
12/9/1993,11:15:00,155
12/9/1993,11:30:00,155
12/9/1993,11:45:00,155
12/9/1993,12:00:00,155
12/9/1993,12:15:00,157
12/9/1993,12:30:00,157
12/9/1993,12:45:00,157
12/9/1993,13:00:00,157
12/9/1993,13:15:00,157
12/9/1993,13:30:00,157
12/9/1993,13:45:00,157
12/9/1993,14:00:00,158
12/9/1993,14:15:00,159
12/9/1993,14:30:00,159
12/9/1993,14:45:00,159
12/9/1993,15:00:00,159
12/9/1993,15:15:00,159
12/9/1993,15:30:00,159
12/9/1993,15:45:00,159
12/9/1993,16:00:00,160
12/9/1993,16:15:00,160
12/9/1993,16:30:00,162
12/9/1993,16:45:00,164
12/9/1993,17:00:00,165
12/9/1993,17:15:00,166
12/9/1993,17:30:00,167
12/9/1993,17:45:00,167
12/9/1993,18:00:00,168
12/9/1993,18:15:00,169
12/9/1993,18:30:00,170
12/9/1993,18:45:00,171
12/9/1993,19:00:00,172
12/9/1993,19:15:00,172
12/9/1993,19:30:00,173
12/9/1993,19:45:00,174
12/9/1993,20:00:00,174
12/9/1993,20:15:00,175
12/9/1993,20:30:00,176
12/9/1993,20:45:00,176
12/9/1993,21:00:00,176
12/9/1993,21:15:00,176
12/9/1993,21:30:00,176
12/9/1993,21:45:00,176
12/9/1993,22:00:00,176
12/9/1993,22:15:00,177
12/9/1993,22:30:00,177
12/9/1993,22:45:00,178
12/9/1993,23:00:00,178
12/9/1993,23:15:00,179
12/9/1993,23:30:00,180
12/9/1993,23:45:00,182
12/10/1993,0:00:00,184
12/10/1993,0:15:00,186
12/10/1993,0:30:00,188
12/10/1993,0:45:00,191
12/10/1993,1:00:00,192
12/10/1993,1:15:00,194
12/10/1993,1:30:00,196
12/10/1993,1:45:00,197
12/10/1993,2:00:00,198
12/10/1993,2:15:00,200
12/10/1993,2:30:00,202
12/10/1993,2:45:00,203
12/10/1993,3:00:00,205
12/10/1993,3:15:00,205
12/10/1993,3:30:00,207
12/10/1993,3:45:00,209
12/10/1993,4:00:00,209
12/10/1993,4:15:00,211
12/10/1993,4:30:00,212
12/10/1993,4:45:00,213
12/10/1993,5:00:00,213
12/10/1993,5:15:00,215
12/10/1993,5:30:00,216
12/10/1993,5:45:00,217
12/10/1993,6:00:00,218
12/10/1993,6:15:00,219
12/10/1993,6:30:00,220
12/10/1993,6:45:00,221
12/10/1993,7:00:00,223
12/10/1993,7:15:00,222
12/10/1993,7:30:00,224
12/10/1993,7:45:00,225
12/10/1993,8:00:00,226
12/10/1993,8:15:00,226
12/10/1993,8:30:00,226
12/10/1993,8:45:00,228
12/10/1993,9:00:00,228
12/10/1993,9:15:00,230
12/10/1993,9:30:00,230
12/10/1993,9:45:00,230
12/10/1993,10:00:00,230
12/10/1993,10:15:00,230
12/10/1993,10:30:00,230
12/10/1993,10:45:00,230
12/10/1993,11:00:00,230
12/10/1993,11:15:00,230
12/10/1993,11:30:00,229
12/10/1993,11:45:00,229
12/10/1993,12:00:00,228
12/10/1993,12:15:00,228
12/10/1993,12:30:00,228
12/10/1993,12:45:00,227
12/10/1993,13:00:00,227
12/10/1993,13:15:00,228
12/10/1993,13:30:00,228
12/10/1993,13:45:00,228
12/10/1993,14:00:00,229
12/10/1993,14:15:00,230
12/10/1993,14:30:00,230
12/10/1993,14:45:00,232
12/10/1993,15:00:00,231
12/10/1993,15:15:00,231
12/10/1993,15:30:00,231
12/10/1993,15:45:00,232
